defenseTeam,Adj_Def_SP,Adj_Rushing,Adj_Passing,year,new_coach,Off_Ratings
New Mexico State,41.9,77.7,82.8,2014,0,23.3
North Carolina,35.2,89.2,87.3,2014,0,35.4
North Texas,33,78,80.6,2014,0,17.4
Northern Illinois,30.8,93,94.6,2014,0,27.6
Northwestern,23,106.5,100.7,2014,0,23.5
Notre Dame,25,99.7,92.3,2014,0,36.8
Ohio,31.5,104.3,92.6,2014,0,19.6
Ohio State,19.5,108.5,131,2014,0,45.5
Oklahoma,23.4,117.2,111.7,2014,0,37.6
Oklahoma State,29.5,107.5,101.1,2014,0,27
Old Dominion,39.1,83.3,77.8,2014,0,31.7
Ole Miss,12.2,129.8,139.7,2014,0,31.8
Oregon,24.5,105.6,109.9,2014,0,45
Oregon State,28.5,82.5,109.6,2014,0,29.3
Pittsburgh,28.2,92.1,95.3,2014,0,34.9
Purdue,27.1,94.6,102.8,2014,0,24.7
Rice,30.2,94.4,87.6,2014,0,29.7
Rutgers,30.7,92.7,94.8,2014,0,30.4
San Diego State,26.7,110.2,108.6,2014,0,25.6
San Jose State,31,83.8,112.7,2014,0,22
SMU,35.2,79.3,76,2014,0,15.5
South Alabama,28.6,108.9,109.2,2014,0,22.9
South Carolina,29.6,84.6,97.6,2014,0,36.2
South Florida,30,101.3,83.3,2014,0,21.1
Southern Miss,32.5,94.1,90.2,2014,0,21.6
Stanford,15.5,137,140.1,2014,0,30.5
Syracuse,21.6,113.7,96.6,2014,0,20.7
TCU,19.6,133.3,113.2,2014,0,38
Temple,18.4,104.8,110.6,2014,0,18
Tennessee,20.4,116.1,123.1,2014,0,30.9
Texas A&M,27.5,81.2,115.7,2014,0,37.6
Texas State,35.5,88.9,90.1,2014,0,29.6
Texas Tech,36.8,82.4,97.1,2014,0,37.1
Toledo,34.7,108.9,87.1,2014,0,34.8
Troy,38.9,79.1,87.5,2014,0,22.3
Tulane,25.8,100.1,101.6,2014,0,18.9
Tulsa,38.8,79,75.4,2014,0,25.2
UCLA,23.3,106.8,118.8,2014,0,39.1
UL-Lafayette,29.3,102.2,93,2014,0,30.6
UL-Monroe,26.9,102.2,109,2014,0,20.3
UNLV,37.8,82.4,78,2014,0,24.3
Utah,23,105.7,120.8,2014,0,29.9
Utah State,23.2,116.3,122.5,2014,0,25.5
UTEP,28.6,90.3,105,2014,0,25.8
UTSA,26.7,120,95.6,2014,0,15.1
Virginia,21,124.4,113.2,2014,0,27.3
Virginia Tech,18,121.2,147.6,2014,0,24.3
Washington State,33.6,97.8,95.9,2014,0,33.2
West Virginia,25.8,115.3,113.8,2014,0,31.4
Western Michigan,30.3,93.6,99.5,2014,0,31.9
Wisconsin,21.4,113.2,117.5,2014,0,35.7
